run_id,field,value
01-resident,repetitions[0].diagnostics.per_rank[0].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[0].resident_hits,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.observations,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.decay_events,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.cache_hits,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.cache_misses,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.admissions,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.evictions,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[0].rank,0
01-resident,repetitions[0].diagnostics.per_rank[1].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[1].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[1].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[1].promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[1].metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[1].unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[1].resident_hits,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.observations,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.decay_events,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.cache_hits,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.cache_misses,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.admissions,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.evictions,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[1].rank,1
01-resident,repetitions[0].diagnostics.per_rank[2].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[2].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[2].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[2].promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[2].metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[2].unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[2].resident_hits,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.observations,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.decay_events,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.cache_hits,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.cache_misses,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.admissions,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.evictions,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[2].rank,2
01-resident,repetitions[0].diagnostics.per_rank[3].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[3].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[3].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[3].promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[3].metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[3].unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[3].resident_hits,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.observations,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.decay_events,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.cache_hits,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.cache_misses,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.admissions,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.evictions,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[3].rank,3
01-resident,repetitions[0].memory[0].rank,0
01-resident,repetitions[0].memory[0].total_gpu_bytes,85017493504
01-resident,repetitions[0].memory[0].free_gpu_bytes,29972561920
01-resident,repetitions[0].memory[0].torch_allocated_bytes,48997736448
01-resident,repetitions[0].memory[0].torch_reserved_bytes,49985617920
01-resident,repetitions[0].memory[0].torch_peak_allocated_bytes,49641704448
01-resident,repetitions[0].memory[0].torch_peak_reserved_bytes,49985617920
01-resident,repetitions[0].memory[0].kv_cache_allocated_bytes,8970829824
01-resident,repetitions[0].memory[0].num_gpu_blocks,2684
01-resident,repetitions[0].memory[0].kv_cache_declared_bytes,8970829824
01-resident,repetitions[0].memory[0].kv_cache_accounting_consistent,True
01-resident,repetitions[0].memory[1].rank,1
01-resident,repetitions[0].memory[1].total_gpu_bytes,85017493504
01-resident,repetitions[0].memory[1].free_gpu_bytes,29972561920
01-resident,repetitions[0].memory[1].torch_allocated_bytes,48997736448
01-resident,repetitions[0].memory[1].torch_reserved_bytes,49985617920
01-resident,repetitions[0].memory[1].torch_peak_allocated_bytes,49641704448
01-resident,repetitions[0].memory[1].torch_peak_reserved_bytes,49985617920
01-resident,repetitions[0].memory[1].kv_cache_allocated_bytes,8970829824
01-resident,repetitions[0].memory[1].num_gpu_blocks,2684
01-resident,repetitions[0].memory[1].kv_cache_declared_bytes,8970829824
01-resident,repetitions[0].memory[1].kv_cache_accounting_consistent,True
01-resident,repetitions[0].memory[2].rank,2
01-resident,repetitions[0].memory[2].total_gpu_bytes,85017493504
01-resident,repetitions[0].memory[2].free_gpu_bytes,29972561920
01-resident,repetitions[0].memory[2].torch_allocated_bytes,48997736448
01-resident,repetitions[0].memory[2].torch_reserved_bytes,49985617920
01-resident,repetitions[0].memory[2].torch_peak_allocated_bytes,49641704448
01-resident,repetitions[0].memory[2].torch_peak_reserved_bytes,49985617920
01-resident,repetitions[0].memory[2].kv_cache_allocated_bytes,8970829824
01-resident,repetitions[0].memory[2].num_gpu_blocks,2684
01-resident,repetitions[0].memory[2].kv_cache_declared_bytes,8970829824
01-resident,repetitions[0].memory[2].kv_cache_accounting_consistent,True
01-resident,repetitions[0].memory[3].rank,3
01-resident,repetitions[0].memory[3].total_gpu_bytes,85017493504
01-resident,repetitions[0].memory[3].free_gpu_bytes,29972561920
01-resident,repetitions[0].memory[3].torch_allocated_bytes,48997736448
01-resident,repetitions[0].memory[3].torch_reserved_bytes,49985617920
01-resident,repetitions[0].memory[3].torch_peak_allocated_bytes,49641704448
01-resident,repetitions[0].memory[3].torch_peak_reserved_bytes,49985617920
01-resident,repetitions[0].memory[3].kv_cache_allocated_bytes,8970829824
01-resident,repetitions[0].memory[3].num_gpu_blocks,2684
01-resident,repetitions[0].memory[3].kv_cache_declared_bytes,8970829824
01-resident,repetitions[0].memory[3].kv_cache_accounting_consistent,True
01-resident,repetitions[0].memory_peak_scope,measured-generate-after-synchronized-reset
01-resident,repetitions[1].repetition,1
01-resident,repetitions[1].elapsed_s,104.66972786420956
01-resident,repetitions[1].generated_tokens,131072
01-resident,repetitions[1].request_count,512
01-resident,repetitions[1].output_tokens_per_second,1252.243630269515
01-resident,repetitions[1].latency_available_requests,0
01-resident,repetitions[1].ttft_available_requests,0
01-resident,repetitions[1].ttft_median_s,
01-resident,repetitions[1].request_latency_median_s,
01-resident,repetitions[1].output_sha256,abc7a96db356d42aff7d9b51cebb65ac41f5d9ad1ed044c2cea1987abd780d72
01-resident,repetitions[1].timing_available,False
01-resident,repetitions[1].diagnostics.h2d_bytes,0
01-resident,repetitions[1].diagnostics.copy_launches,0
01-resident,repetitions[1].diagnostics.startup_resident_h2d_bytes,0
01-resident,repetitions[1].diagnostics.promotion_d2d_bytes,0
01-resident,repetitions[1].diagnostics.metadata_h2d_bytes,0
01-resident,repetitions[1].diagnostics.unique_demands,0
01-resident,repetitions[1].diagnostics.resident_hits,0
01-resident,repetitions[1].diagnostics.timing.route_d2h_s,0
01-resident,repetitions[1].diagnostics.timing.policy_cpu_s,0
01-resident,repetitions[1].diagnostics.timing.host_reuse_wait_s,0
01-resident,repetitions[1].diagnostics.timing.host_gather_s,0
01-resident,repetitions[1].diagnostics.timing.h2d_enqueue_s,0
01-resident,repetitions[1].diagnostics.timing.compute_enqueue_s,0
01-resident,repetitions[1].diagnostics.timing.cuda_sample_count,0
01-resident,repetitions[1].diagnostics.timing.load_cuda_s,0
01-resident,repetitions[1].diagnostics.timing.compute_cuda_s,0
01-resident,repetitions[1].diagnostics.timing.promotion_cuda_s,0
01-resident,repetitions[1].diagnostics.policy.observations,0
01-resident,repetitions[1].diagnostics.policy.unique_demands,0
01-resident,repetitions[1].diagnostics.policy.completed_forwards,0
