record_index,metric,value
2,memory[3].kv_cache_allocated_bytes,34750267392
2,memory[3].kv_cache_declared_bytes,34750267392
2,memory[3].num_gpu_blocks,10397
2,memory[3].rank,3
2,memory[3].torch_allocated_bytes,74839426560
2,memory[3].torch_peak_allocated_bytes,75124360192
2,memory[3].torch_peak_reserved_bytes,75398905856
2,memory[3].torch_reserved_bytes,75398905856
2,memory[3].total_gpu_bytes,85017493504
2,output_tokens_per_second,3516.8189021558246
2,repetition,2
2,request_count,64
2,timing_eligible,True
2,artifact_kind,analysis-repetition
3,record_index,3
3,elapsed_s,14.839908448047936
3,generated_tokens,8
3,input_sha256,9e2f2009d6614713d898ee9dcc086a09a59ecffe58425c4f4acba249b95415bf
3,output_tokens_per_second,0.5390868837234863
3,request_count,1
3,timing_eligible,True
3,artifact_kind,analysis-smoke
4,record_index,4
4,status,unreadable
4,artifact_kind,unknown
